"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1015","test_login","mini_project_saucedemo.tests","Wed Jul 30 10:49:03 GMT 2025","passed","Wed Jul 30 10:49:04 GMT 2025","Test_login","test_login","",""
"","1270","test_fill_only_firstnaem_and_code","mini_project_saucedemo.tests","Wed Jul 30 10:49:17 GMT 2025","passed","Wed Jul 30 10:49:18 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","4694","test_e2e","mini_project_saucedemo.tests","Wed Jul 30 10:48:13 GMT 2025","passed","Wed Jul 30 10:48:18 GMT 2025","Test_e2e","test_e2e","",""
"","672","test_login_without_password_with_invalid_user_name","mini_project_saucedemo.tests","Wed Jul 30 10:49:11 GMT 2025","passed","Wed Jul 30 10:49:11 GMT 2025","Test_login","test_login","",""
"","3278","test_reset","mini_project_saucedemo.tests","Wed Jul 30 10:48:29 GMT 2025","passed","Wed Jul 30 10:48:32 GMT 2025","Test_Envelope","test_envelope","",""
"","997","test_invalid_user_name","mini_project_saucedemo.tests","Wed Jul 30 10:49:07 GMT 2025","passed","Wed Jul 30 10:49:08 GMT 2025","Test_login","test_login","",""
"","1316","test_text_hilo","mini_project_saucedemo.tests","Wed Jul 30 10:49:37 GMT 2025","passed","Wed Jul 30 10:49:38 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","1386","test_order_az","mini_project_saucedemo.tests","Wed Jul 30 10:49:27 GMT 2025","passed","Wed Jul 30 10:49:28 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","15049","test_of_all_list","mini_project_saucedemo.tests","Wed Jul 30 10:48:48 GMT 2025","passed","Wed Jul 30 10:49:03 GMT 2025","Test_List_of_all","test_list_of_all","",""
"","971","test_fill_only_firstname","mini_project_saucedemo.tests","Wed Jul 30 10:49:15 GMT 2025","passed","Wed Jul 30 10:49:16 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","2258","test_products","mini_project_saucedemo.tests","Wed Jul 30 10:48:26 GMT 2025","passed","Wed Jul 30 10:48:28 GMT 2025","Test_Envelope","test_envelope","",""
"","4745","test_speed_add_and_remove","mini_project_saucedemo.tests","Wed Jul 30 10:49:39 GMT 2025","passed","Wed Jul 30 10:49:44 GMT 2025","Test_speed_add_and_remove","test_speed_add_and_remove","",""
"","376","test_login_without_details","mini_project_saucedemo.tests","Wed Jul 30 10:49:08 GMT 2025","passed","Wed Jul 30 10:49:09 GMT 2025","Test_login","test_login","",""
